# class NDVI NDCI IRECI MTCI OTCI MCARI CI_RedEdge CI_GreenEdge TCARI OSAVI TCARI_OSAVI
4.000000 0.695686 0.292501 0.639606 3.328333 6.656665 0.042525 2.023311 3.579629 0.127575 0.557869 0.228486
4.000000 0.701014 0.291771 0.658859 3.411393 6.822785 0.041920 2.089002 3.705642 0.125761 0.563482 0.222817
4.000000 0.682069 0.272518 0.594122 3.350440 6.700881 0.039513 1.970353 3.521419 0.118540 0.543253 0.217949
4.000000 0.519518 0.194867 0.464458 2.533345 5.066689 0.048263 1.112615 2.341267 0.144788 0.446599 0.326664
3.000000 0.117860 0.064518 0.059342 0.346270 0.692539 0.015140 0.095773 0.714504 0.045419 0.097248 0.464782
0.000000 0.084283 0.053875 0.066771 0.135022 0.270044 0.016600 0.049983 0.629824 0.049799 0.076187 0.653099
0.000000 0.082539 0.054962 0.066414 0.120450 0.240899 0.017087 0.048565 0.636888 0.051262 0.076475 0.669781
1.000000 0.101917 0.059017 0.071562 0.232155 0.464309 0.018366 0.071448 0.664610 0.055098 0.089105 0.616987
4.000000 0.653517 0.316522 0.498707 2.308679 4.617358 0.053370 1.447305 3.350518 0.160110 0.519572 0.303392
3.000000 0.532011 0.231935 0.308074 1.870341 3.740683 0.044031 0.956092 2.340694 0.132093 0.409266 0.322816
3.000000 0.534433 0.237309 0.320423 1.825312 3.650624 0.047132 0.948765 2.326548 0.141397 0.415837 0.340226
3.000000 0.587751 0.264117 0.370626 1.996526 3.993051 0.047411 1.141999 2.698379 0.142234 0.454239 0.312187
3.000000 0.587290 0.265473 0.365384 1.998449 3.996899 0.046820 1.140079 2.797652 0.140460 0.452534 0.309838
3.000000 0.520337 0.228831 0.314838 1.843581 3.687163 0.045889 0.918963 2.261999 0.137666 0.406451 0.337251
3.000000 0.514025 0.223287 0.312220 1.870440 3.740880 0.045414 0.904988 2.269592 0.136243 0.403207 0.335313
3.000000 0.714977 0.337410 0.705923 2.872779 5.745558 0.052439 2.014551 3.728869 0.157316 0.586604 0.267176
4.000000 0.723168 0.341187 0.787816 3.050729 6.101459 0.055273 2.095908 3.887628 0.165819 0.603654 0.275822
4.000000 0.661792 0.282940 0.579637 2.792648 5.585295 0.047888 1.714107 3.211981 0.143665 0.539396 0.266253
4.000000 0.652769 0.286986 0.553831 2.825462 5.650925 0.047746 1.618255 3.092438 0.143239 0.525911 0.271636
4.000000 0.722748 0.337722 0.705446 2.912456 5.824913 0.051566 2.060610 3.796317 0.154699 0.590964 0.261137
5.000000 0.753290 0.367995 0.772937 2.974212 5.948424 0.052986 2.251485 4.135760 0.158957 0.615146 0.257751
1.000000 0.125698 0.294732 0.016026 -0.495891 -0.991783 0.032897 -0.207488 0.136282 0.098690 0.084110 1.291919
1.000000 0.172688 0.385228 0.014369 -0.466478 -0.932955 0.032473 -0.256808 0.168890 0.097419 0.092363 1.094759
1.000000 0.164227 0.394768 0.013084 -0.497589 -0.995177 0.033789 -0.285323 0.110286 0.101368 0.088249 1.184224
1.000000 0.167438 0.379000 0.014138 -0.491782 -0.983564 0.034483 -0.263123 0.149255 0.103450 0.092493 1.142540
1.000000 0.185126 0.345727 0.017856 -0.396983 -0.793965 0.031637 -0.186036 0.186348 0.094912 0.101494 0.983737
1.000000 0.124435 0.336980 0.013826 -0.523557 -1.047114 0.033644 -0.248875 0.082488 0.100932 0.084624 1.246497
